ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
182;N1;45,08;47,31;50,41;43,43;36,16;77,67;44,03;60,53;66,76;42,29
183;N1;60,26;67,62;66,62;63,85;45,22;62,60;82,40;47,51;53,36;79,05
184;N1;64,15;65,59;65,32;50,14;26,11;70,59;47,66;54,98;60,75;46,15
185;N1;84,49;95,11;90,29;68,18;67,27;52,74;24,67;43,16;43,80;23,80
186;N1;56,59;66,34;65,30;67,44;45,87;70,41;95,43;53,89;59,06;92,31
187;N1;60,40;62,59;64,85;37,76;12,73;65,27;14,87;51,57;55,95;13,74
188;N1;75,60;80,35;81,25;76,68;55,84;60,59;96,97;46,33;52,31;93,09
189;N1;53,57;62,45;61,36;59,43;49,54;63,70;69,82;49,09;53,68;67,19
190;N1;56,11;60,82;59,01;56,00;9,86;60,26;99,70;48,74;49,91;96,52
191;N1;67,33;69,57;70,14;64,60;57,43;81,08;64,21;64,06;69,10;61,50
192;N1;67,31;76,86;74,23;58,30;52,13;65,94;34,61;49,96;57,32;33,15
193;N1;59,44;61,66;61,44;49,60;20,51;55,31;57,46;45,58;46,33;55,19
194;N1;63,24;66,63;69,58;69,76;48,51;58,14;99,70;47,87;47,74;96,52
195;N1;65,96;67,50;69,86;46,31;22,82;70,32;28,64;57,39;60,82;26,85
196;N1;76,11;83,19;84,11;81,80;74,58;83,85;89,93;67,37;72,15;86,80
197;N1;71,57;74,02;75,97;63,90;44,87;67,65;67,30;51,42;56,52;64,29
198;N1;81,98;84,17;83,53;76,32;43,34;84,35;99,70;66,86;71,89;96,68
199;N1;75,11;84,42;82,73;82,44;75,03;71,06;94,45;54,91;60,19;91,53
200;N1;77,14;85,08;84,70;65,00;43,61;87,16;50,49;67,58;73,29;48,97
201;N1;65,16;69,03;70,16;43,39;21,25;76,86;16,65;58,44;64,91;15,36
202;N1;63,47;73,43;72,41;60,94;64,39;82,34;34,58;65,84;69,12;33,52
203;N1;60,70;70,55;68,50;72,40;55,15;64,57;99,70;52,97;54,31;96,20
204;N1;58,18;65,94;65,25;50,57;58,04;82,06;17,50;62,62;69,23;16,89
205;N1;69,76;72,83;76,20;49,35;40,72;73,73;12,11;58,22;62,26;11,48
206;N1;60,01;63,19;65,50;68,43;51,22;83,75;99,70;67,31;72,77;96,60
207;N1;83,98;87,82;86,44;77,72;;65,73;94,77;51,70;54,24;91,27
208;N1;78,01;80,79;80,46;78,53;72,66;61,95;85,22;50,96;51,18;82,26
209;N1;69,26;72,08;71,47;48,42;34,43;63,72;17,10;52,51;52,69;16,55
210;N1;58,99;66,43;66,37;62,29;40,12;67,87;80,95;51,34;57,47;78,47
211;N1;73,07;77,47;80,15;71,66;43,32;70,60;89,36;53,71;59,79;86,52
212;N1;98,23;98,60;98,47;77,45;65,35;92,15;51,06;72,43;77,64;48,75
213;N1;74,90;78,44;80,96;61,75;70,25;61,33;18,93;49,60;53,17;18,30
214;N1;80,49;87,48;84,50;75,90;37,58;70,19;99,42;52,80;59,70;95,74
215;N1;65,79;69,64;68,99;71,23;59,07;72,12;93,22;56,53;60,36;89,99
216;N1;55,67;62,18;62,50;45,98;26,61;60,71;37,00;47,14;50,70;35,08
217;N1;75,37;83,35;81,93;70,38;45,64;64,79;75,77;48,92;55,67;72,99
218;N1;41,03;47,08;46,62;51,45;26,46;66,05;92,57;51,62;54,56;89,47
219;N1;80,90;83,64;87,16;65,87;40,90;60,66;55,08;49,13;51,52;53,39
220;N1;59,08;68,41;65,64;55,33;29,52;61,05;61,40;46,79;52,64;58,84
221;N1;60,79;67,16;66,19;68,51;47,56;77,59;;;66,51;
222;N1;86,11;88,06;88,95;64,96;62,55;69,18;25,41;53,44;60,11;23,97
223;N1;50,49;59,63;59,69;61,69;32,12;61,03;99,70;47,06;52,29;95,90
224;N1;46,95;55,78;54,48;55,23;16,10;41,68;99,70;32,46;34,77;96,17
225;N1;58,45;67,23;65,35;63,71;37,94;58,47;90,28;48,63;49,17;86,96
226;N1;90,13;95,80;95,76;64,55;55,34;64,05;14,93;51,93;54,79;14,36
227;N1;73,98;84,11;80,65;72,68;30,79;67,34;99,70;54,21;58,13;96,23
228;N1;59,12;64,22;62,80;67,92;50,26;72,41;99,70;58,11;60,88;65,40
229;N1;60,66;70,78;70,47;58,16;46,14;60,83;48,58;45,78;51,96;46,51
230;N1;56,04;56,89;59,14;56,90;17,36;;99,70;60,93;63,52;96,61
231;N1;68,90;73,62;71,73;59,94;41,13;60,21;56,16;47,21;51,51;53,88
232;N1;59,51;67,87;68,53;61,85;17,06;72,73;99,70;56,01;62,94;95,77
233;N1;58,33;64,00;64,32;66,96;44,01;71,54;99,70;58,01;60,45;95,86
234;N1;64,00;68,74;67,31;50,19;19,35;69,74;50,78;55,85;59,97;48,41
235;N1;72,94;82,19;80,31;74,61;42,06;73,56;99,70;58,37;62,59;96,66
236;N1;62,28;68,42;69,15;67,63;53,19;62,55;86,42;51,15;51,89;82,97
237;N1;56,50;63,10;63,82;45,04;16,40;68,51;42,34;53,86;57,16;40,31
238;N1;56,89;63,15;61,99;63,00;54,26;46,87;76,58;38,91;38,85;74,26
