"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
234;27;"f";"un";"s";"e";27.18;14.07;52;149;"no";41000
235;27;"m";"em";"s";"e";29.23;12.41;33;125;"no";10500
236;25;"f";"un";"c";"e";89.15;15.135;110.5;428;"no";0
237;25;"m";"em";"s";"e";189.38;57.92;0;656;"si";184000
238;20;"f";"ts";"s";"c3c4";88.385;26.465;85;98.5;"no";35509
239;19;"m";"em";"s";"c3c4";33.395;8.685;7.5;14.5;"no";6552.5
240;35;"m";"ts";"s";"c3c4";127.79;42.0275;195.5;357;"no";62553
241;28;"m";"ts";"s";"c3c4";90.54666667;33.22333333;223;540.3333333;"no";60166.67
242;25;"m";"em";"s";"e";92.972;15.002;144.6;375.2;"si";161008.6
243;21;"m";"em";"s";"e";125.62;14.489;218.3333333;333;"no";18592
244;47;"f";"em";"s";"c3c4";115.73;19.15;624;686;"no";6915
245;30;"m";"ts";"s";"c3c4";117.53;34.4;116;231;"si";159153.33
246;37;"m";"un";"s";"c2";124.9;36.19;190;430;"no";44500
247;26;"f";"em";"s";"c3c4";175.34;69.41;12;944;"si";321000
248;24;"m";"ts";"s";"c3c4";94.28266667;24.50166667;276.6666667;499.3333333;"no";15339.33
249;41;"m";"em";"c";"e";91.22666667;32.6;165.6666667;531;"no";151000
250;39;"m";"un";"s";"c3c4";38.74;4.92;0;0;"no";4980
251;32;"m";"un";"s";"c3c4";101.35;60.845;213.5;418.25;"si";195250
252;27;"f";"em";"s";"e";127.1066667;70.79666667;286.3333333;637.3333333;"no";70000
253;32;"m";"em";"c";"c3c4";137.95;76.66;316.6666667;771.3333333;"si";247416.67
254;27;"f";"em";"s";"c3c4";80.3205;28.572;223.5;409.75;"no";54685
255;39;"f";"un";"s";"e";170.18;78.705;414.5;1170.5;"si";217250
256;34;"m";"ts";"c";"e";139.7;57.41;33;573;"no";56500
257;31;"m";"em";"c";"e";152.975;64.585;257;694;"no";142500
258;23;"f";"em";"s";"e";62.86;30.56;147;334;"no";30250
259;22;"f";"un";"s";"c2";166.755;42.995;208;1082.5;"no";38000
260;38;"f";"em";"s";"c3c4";123.125;50.37;298.5;638.5;"si";238250
261;28;"m";"un";"c";"c3c4";158.59;89.15;265;525;"no";122250
262;27;"m";"ts";"s";"c2";101.12;19.22;7;216;"no";0
263;23;"f";"em";"s";"c3c4";72.575;25.395;151.5;448;"no";67750
264;43;"m";"em";"s";"c2";54.725;22.99;65.5;414;"no";26250
265;53;"f";"ts";"s";"c3c4";116.9866667;51.46;256;570.3333333;"no";126000
266;25;"m";"un";"s";"c3c4";71.91;15.025;198.5;530.5;"no";48750
267;52;"f";"ts";"s";"c3c4";133.69;76.585;475.5;806;"no";106750
268;24;"m";"ts";"s";"c3c4";113.78;27.02;84.5;390;"no";143500
269;46;"f";"em";"s";"c2";133.5;38.03333333;284.6666667;358.6666667;"no";111666.67
270;37;"f";"ts";"c";"e";103.8;27.62;219;871;"no";73500
271;27;"m";"em";"s";"c3c4";171.63;80.465;480.5;1104.5;"si";222000
272;33;"m";"ts";"s";"fue";82.39333333;27.97;209;564.6666667;"no";81333.33
273;32;"m";"ts";"s";"c3c4";111.86;17.64;84.66666667;715.3333333;"no";119666.67
274;28;"m";"ts";"s";"c3c4";170.985;59.955;427;619.5;"si";216500
275;48;"m";"em";"c";"c3c4";191.83;72.45;404;1413;"si";162500
276;29;"f";"em";"s";"e";158.9;28.135;319.5;526;"no";58019.5
277;27;"f";"em";"s";"c3c4";117.855;59.5225;337.5;955;"si";193562.5
278;28;"f";"un";"s";"e";151.156;39.764;314;401;"no";108970
279;26;"f";"un";"s";"e";12.49;2.75;27;34;"no";0
280;26;"m";"em";"s";"c3c4";97.235;32.195;276.5;317;"no";69897
281;35;"m";"em";"s";"e";69.2425;17.428;10.5;378.5;"no";60909
282;44;"m";"ts";"c";"e";181.98;114.6;488;1212;"si";434000
283;46;"f";"em";"c";"c3c4";170.5;87.27;226;679;"si";324750
284;43;"m";"em";"s";"c3c4";80.545;19.11333333;57;314.6666667;"no";49125
285;26;"m";"un";"s";"fue";138.76;66.235;312;563;"si";203250
286;39;"m";"em";"s";"c3c4";109.84;35.06333333;367.3333333;443.6666667;"no";151967.67
287;36;"f";"em";"c";"c3c4";176.465;93.99;706;1091;"si";360000
288;31;"m";"un";"c";"c3c4";63.45;20.345;80.75;197.75;"no";59875
289;30;"m";"em";"c";"c2";19.905;9.4;53;70.5;"no";25250
290;43;"f";"em";"c";"c3c4";93.985;46.45;194;494;"no";101375
291;54;"m";"un";"c";"c2";115.465;52.0575;109.75;656.5;"no";114125
292;29;"m";"em";"s";"c3c4";116.395;29.81;161;513;"si";259750
293;23;"f";"em";"s";"e";83.625;42.255;189;493.5;"no";105250
294;32;"m";"ts";"s";"c3c4";116.283;24.792;102;147;"no";6783
295;25;"f";"em";"s";"c3c4";152.87;42.38;138;546.5;"no";91250
296;42;"f";"em";"c";"c3c4";131.18;69.16;230;776.5;"si";172875
297;28;"m";"un";"s";"c2";149.64;29.97;258;378;"no";97500
298;41;"m";"em";"s";"c3c4";51.089;11.371;0;0;"no";50179
299;47;"f";"ts";"s";"c3c4";121.478;36.902;276.2;442;"no";153100
300;29;"f";"un";"s";"e";63.97;13.65;94;309;"no";68000
301;29;"m";"em";"s";"c3c4";120.6625;37.7375;159;261.5;"si";261687.5
302;32;"m";"un";"c";"c3c4";115.73;50.225;183.75;421.75;"no";109852.5
303;27;"m";"un";"s";"c3c4";128.0322222;68.71;236.3333333;829.7777778;"si";377374.44
304;22;"f";"ts";"s";"e";107.87;42.7275;123;640.75;"no";143125
305;24;"f";"ts";"s";"e";163.7325;62.7625;262.75;477;"si";588125
306;32;"m";"un";"s";"c3c4";90.1384;39.2404;293.8;322.6;"no";143785.4
